"Model","GPRS","2G bands","Speed","3G bands","EDGE","Technology","Status","SIM","4G bands","Announced","Dimensions","Weight","Resolution","Multitouch","Type","Size","Chipset","OS","CPU","GPU","Internal","Card slot","Secondary","Video","Primary","Features","Loudspeaker","3.5mm jack","Alert types","WLAN","USB","Infrared port","Bluetooth","Radio","GPS","Messaging","Sensors","Java","Browser","Talk time","Stand-by","Music play","Price group","Colors","Battery life","Camera","Audio quality","Performance","Display","Phonebook","Call records","Games","SAR EU","SAR US","Protection","Keyboard","NFC","Build","Alarm","Clock","Languages","subcategory","InternalStorage","Ram","CameraVideoFps","CameraVideoResolution","Width","Thickness","Height","Weight_grams","Weight_oz","SecondaryCameraPixel","CardSlotCapacity","ResolutionHeight","ResolutionWidth","ResolutionPpi","PrimaryCameraPixel","ScreenSize","ScreenBodyRatio"
"Life Play S","HSPA 21.1/11.5 Mbps","GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2","HSDPA 850 / 1900  / 1700 - L150U","HSDPA 850 / 1900 / 2100 - L150L","Yes","GSM / HSPA","Available. Released 2014, January","Dual SIM (Micro-SIM, dual stand-by)","","2014, January","137.5 x 67.5 x 7.8 mm (5.41 x 2.66 x 0.31 in)","109 g (3.84 oz)","720 x 1280 pixels (~312 ppi pixel density)","Yes","IPS LCD capacitive touchscreen, 16M colors","4.7 inches (~65.6% screen-to-body ratio)","Mediatek MT6582","Android 4.2 (Jelly Bean)","Quad-core 1.3 GHz Cortex-A7","Mali-400MP2","4 GB, 1 GB RAM","microSD, up to 64 GB (dedicated slot)","5 MP","1080p@30fps","8 MP, autofocus, LED flash","Geo-tagging, touch focus, face/smile detection, HDR","Yes","Yes","Vibration; MP3, WAV ringtones","Yes, hotspot","microUSB 2.0","","4.0, A2DP","FM radio","Yes, with A-GPS","SMS(threaded view), MMS, Email, Push Email, IM","Accelerometer, proximity, compass","No","HTML5","Up to 780 h (2G) / Up to 700 h (3G)","Non-removable Li-Ion 1800 mAh battery","","<a href=""#"">3/10</a>","Blue, White","","","","","","","","","","","","","","","","","","BLU","","","30","1080","137.5","7.8","67.5","109","3.84","5","64","720","1280","312","8","4.7","65.6"
"Life Play X","HSPA 42.2/5.76 Mbps","GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2","HSDPA 850 / 2100 - L102i","HSDPA 850 / 1900 - L102a","Class 12","GSM / HSPA","Available. Released 2014, January","Dual SIM (Mini-SIM and Micro-SIM, dual stand-by)","","2013, December","137 x 68.4 x 7.9 mm (5.39 x 2.69 x 0.31 in)","125 g (4.41 oz)","720 x 1280 pixels (~312 ppi pixel density)","Yes","LED-backlit IPS LCD capacitive touchscreen, 16M colors","4.7 inches (~65.0% screen-to-body ratio)","Mediatek MT6589T","Android 4.2 (Jelly Bean)","Quad-core 1.5 GHz Cortex-A7","PowerVR SGX544MP2","16 GB, 1 GB RAM","microSD, up to 32 GB (dedicated slot)","2 MP","1080p@30fps","8 MP, autofocus, LED flash","Geo-tagging, touch focus, face/smile detection, HDR","Yes","Yes","Vibration; MP3, WAV ringtones","Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","microUSB 2.0","","4.0, A2DP","Stereo FM radio","Yes, with A-GPS","SMS(threaded view), MMS, Email, Push Email, IM","Accelerometer, gyro, proximity, compass","No","HTML5","Up to 780 h (2G) / Up to 700 h (3G)","Removable Li-Ion 1800 mAh battery","","<a href=""#"">4/10</a>","Black","","","","","","","","","","","","","","","","","","BLU","1","1","30","1080","137","7.9","68.4","125","4.41","2","32","720","1280","312","8","4.7","65.0"
"Life Pro","HSPA 42.2/11.5 Mbps","GSM 850 / 900 / 1800 / 1900","HSDPA 850 / 2100 - L210i","HSDPA 850 / 1900 - L210a","Class 12","GSM / HSPA","Available. Released 2013, November","Mini-SIM","","2013, November","147 x 72.1 x 6.9 mm (5.79 x 2.84 x 0.27 in)","158 g (5.57 oz)","720 x 1280 pixels (~294 ppi pixel density)","Yes","IPS LCD capacitive touchscreen, 16M colors","5.0 inches (~65.0% screen-to-body ratio)","Mediatek MT6589T","Android 4.2 (Jelly Bean)","Quad-core 1.5 GHz Cortex-A7","PowerVR SGX544MP2","16 GB, 1 GB RAM","No","5 MP","1080p@30fps","12 MP, autofocus, LED flash","Geo-tagging, touch focus, face detection, panorama, HDR","Yes","Yes","Vibration; MP3, WAV ringtones","Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","microUSB 2.0","","4.0, A2DP","FM radio","Yes, with A-GPS","SMS(threaded view), MMS, Email, Push Email, IM","Accelerometer, proximity, compass","No","HTML5","Up to 900 h (2G) / Up to 600 h (3G)","Removable Li-Po 2500 mAh battery","","<a href=""#"">5/10</a>","Black","","","","","","","","","","","","","","","","","","BLU","1","1","30","1080","147","6.9","72.1","158","5.57","5","","720","1280","294","12","5.0","65.0"
"Life Pure","HSPA 42.2/11.5 Mbps","GSM 850 / 900 / 1800 / 1900","HSDPA 850 / 2100 - L240i","HSDPA 850 / 1900 - L240a","Class 12","GSM / HSPA","Available. Released 2013, December","Micro-SIM","","2013, December","142 x 69.4 x 7.7 mm (5.59 x 2.73 x 0.30 in)","128 g (4.52 oz)","1080 x 1920 pixels (~441 ppi pixel density)","Yes","IPS LCD capacitive touchscreen, 16M colors","5.0 inches (~69.9% screen-to-body ratio)","Mediatek MT6589T","Android 4.2 (Jelly Bean)","Quad-core 1.5 GHz Cortex-A7","PowerVR SGX544MP2","32 GB, 2 GB RAM","No","5 MP","1080p@30fps","13 MP, autofocus, LED flash","Geo-tagging, touch focus, face detection, panorama, HDR","Yes","Yes","Vibration; MP3, WAV ringtones","Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","microUSB 2.0","","4.0, A2DP","FM radio","Yes, with A-GPS","SMS(threaded view), MMS, Email, Push Email, IM","Accelerometer, proximity, compass","No","HTML5","Up to 750 h (2G) / Up to 675 h (3G)","Non-removable Li-Ion 2020 mAh battery","","<a href=""#"">5/10</a>","Black, White","","","","","","","","","","","","","","","","","","BLU","3","2","30","1080","142","7.7","69.4","128","4.52","5","","1080","1920","441","13","5.0","69.9"
"Life Pure Mini","HSPA 42.2/11.5 Mbps","GSM 850 / 900 / 1800 / 1900","HSDPA 850 / 2100 - L220i","HSDPA 850 / 1900 - L220a","Class 12","GSM / HSPA","Available. Released 2014, February","Micro-SIM","","2014, February","130 x 64.4 x 8.9 mm (5.12 x 2.54 x 0.35 in)","149 g (5.26 oz)","720 x 1280 pixels (~326 ppi pixel density)","Yes","LED-backlit IPS LCD capacitive touchscreen, 16M colors","4.5 inches (~66.7% screen-to-body ratio)","Mediatek MT6589T","Android 4.2 (Jelly Bean)","Quad-core 1.5 GHz Cortex-A7","PowerVR SGX544MP2","16 GB, 1 GB RAM","No","2 MP","1080p@30fps","8 MP, autofocus, LED flash","Geo-tagging, touch focus, face detection, panorama, HDR","Yes","Yes","Vibration; MP3, WAV ringtones","Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","microUSB 2.0","","4.0, A2DP","FM radio","Yes, with A-GPS","SMS(threaded view), MMS, Email, Push Email, IM","Accelerometer, gyro, proximity","No","HTML5","Up to 980 h (2G) / Up to 890 h (3G)","Non-removable Li-Ion 3000 mAh battery","","<a href=""#"">4/10</a>","Black, White","","","","","","","","","","","","","","","","","","BLU","1","1","30","1080","130","8.9","64.4","149","5.26","2","","720","1280","326","8","4.5","66.7"
"Life Pure XL","Class 12","GSM 850 / 900 / 1800 / 1900","HSPA 21.1/5.76 Mbps","HSDPA 850 / 1900 / 2100","Class 12","GSM / HSPA","Available. Released 2014, May","Micro-SIM","","2014, April","150.6 x 75 x 9.5 mm (5.93 x 2.95 x 0.37 in)","152 g (5.36 oz)","1080 x 1920 pixels (~401 ppi pixel density)","Yes","LTPS IPS LCD capacitive touchscreen, 16M colors","5.5 inches (~73.8% screen-to-body ratio)","Qualcomm MSM8274AB Snapdragon 800","Android 4.2.2 (Jelly Bean), upgradable to 4.4.2 (KitKat)","Quad-core 2.2 GHz Krait 400","Adreno 330","32 GB,  3 GB RAM (L260L)/ 16 GB, 2 GB RAM (L259L)","No","8 MP, autofocus","1080p@30fps","16 MP, autofocus, LED flash","1/2.3"" sensor size, 1.34 µm pixel size, geo-tagging, touch focus, face detection, HDR, panorama","Yes","Yes","Vibration; MP3, WAV ringtones","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, DLNA, hotspot","microUSB 2.0, USB Host","","4.0, A2DP","Stereo FM radio","Yes, with A-GPS","SMS(threaded view), MMS, Email, Push Email, IM","Accelerometer, gyro, proximity, compass","No","HTML5","Up to 800 h (2G) / Up to 600 h (3G)","Non-removable Li-Po 2500 mAh battery","","<a href=""#"">6/10</a>","Black, White","","","","","","","","","","","Corning Gorilla Glass 3","","Yes","","","","","BLU","","","30","1080","150.6","9.5","75","152","5.36","8","","1080","1920","401","16","5.5","73.8"
"Life View","Class 12","GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2","HSPA 42.2/5.76 Mbps","HSDPA 850 / 1900 / 2100","Class 12","GSM / HSPA","Discontinued","Dual SIM (Mini-SIM, dual stand-by)","","2013, March. Released 2013, April","161 x 82.5 x 8.9 mm (6.34 x 3.25 x 0.35 in)","220 g (7.76 oz)","720 x 1280 pixels (~258 ppi pixel density)","Yes","LED-backlit IPS LCD capacitive touchscreen, 16M colors","5.7 inches (~67.4% screen-to-body ratio)","Mediatek MT6589","Android 4.2 (Jelly Bean)","Quad-core 1.2 GHz Cortex-A7","PowerVR SGX544","16 GB, 1 GB RAM","No","5 MP","1080p@30fps","12 MP, autofocus, LED flash","Geo-tagging, touch focus, face/smile detection, HDR","Yes","Yes","Vibration; MP3, WAV ringtones","Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","microUSB 2.0","","4.0, A2DP","Stereo FM radio","Yes, with A-GPS","SMS(threaded view), MMS, Email, Push Email, IM","Accelerometer, gyro, proximity, compass","No","HTML5, Adobe Flash","Up to 980 h (2G) / Up to 920 h (3G)","Removable Li-Ion 2600 mAh battery","","<a href=""#"">5/10</a>","Black, White","","","","","","","","","","","","","","","","","","BLU","1","1","30","1080","161","8.9","82.5","220","7.76","5","","720","1280","258","12","5.7","67.4"
"Life View Tab","HSPA 42.2/11.5 Mbps","GSM 850 / 900 / 1800 / 1900","HSDPA 850 / 1900  / 1700 - L800U","HSDPA 850 / 1900 / 2100 - L800L","Yes","GSM / HSPA","Available. Released 2014, January","Yes","","2014, January","205 x 138.2 x 9 mm (8.07 x 5.44 x 0.35 in)","404 g (14.25 oz)","768 x 1024 pixels (~160 ppi pixel density)","Yes","IPS LCD capacitive touchscreen, 16M colors","8.0 inches (~70.0% screen-to-body ratio)","Mediatek MT8389M","Android 4.2 (Jelly Bean)","Quad-core 1.2 GHz Cortex-A7","PowerVR SGX544","8 GB, 1 GB RAM","microSD, up to 64 GB (dedicated slot)","5 MP","1080p@30fps","5 MP, autofocus, LED flash","Geo-tagging, face/smile detection","Yes","Yes","Vibration; MP3, WAV ringtones","Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","microUSB 2.0","Yes","4.0, A2DP","No","Yes, with A-GPS","SMS(threaded view), MMS, Email, Push Email, IM","Accelerometer, gyro","No","HTML5","Non-removable Li-Ion 4500 mAh battery","","Up to 11 h (multimedia)","<a href=""#"">7/10</a>","Blue, White","","","","","","","","","","","","","","","","","","BLU","","","30","1080","205","9","138.2","404","14.25","5","64","768","1024","160","5","8.0","70.0"
"Lindy","GSM 850 / 900 / 1800 / 1900 - SIM 2  (Q61 only)","GSM 850 / 900 / 1800 / 1900","","","Class 12","GSM","Available. Released 2011, Q3","Mini-SIM","","2011, July","101 x 56.2 x 13.7 mm (3.98 x 2.21 x 0.54 in)","50 g (1.76 oz)","160 x 128 pixels (~116 ppi pixel density)","","TFT, 65K colors","1.77 inches (~17.4% screen-to-body ratio)","","","","","64 MB ROM, 32 MB RAM","microSD, up to 4 GB (dedicated slot)","","","","","Yes","Yes","Vibration, MP3 ringtones","No","microUSB","","No","Stereo FM radio","No","SMS, MMS","","No","WAP 2.0/xHTML","Up to 600 h","Removable Li-Ion 750 mAh battery","","","Blue, Silver, Black, Light Blue, Pink","","","","","","Yes","Yes","Downloadable","","","","QWERTY","","","","","","BLU","","","","","101","13.7","56.2","50","1.76","","4","160","128","116","","1.77","17.4"
"Magic","Class 12","GSM 850 / 900 / 1800 / 1900","HSPA 7.2/0.384 Mbps","HSDPA 850 / 1900 / 2100","Class 12","GSM / HSPA","Discontinued","Mini-SIM","","2011, February. Released 2011, April","111 x 58 x 13.5 mm (4.37 x 2.28 x 0.53 in)","-","320 x 480 pixels (~180 ppi pixel density)","","TFT capacitive touchscreen, 256K colors","3.2 inches (~47.4% screen-to-body ratio)","Qualcomm MSM7227 Snapdragon S1","Android 2.2 (Froyo)","600 MHz ARM 11","Adreno 200","512 MB, 256 MB RAM","microSD, up to 16 GB (dedicated slot)","No","320p@18fps","3.15 MP","","Yes","Yes","Vibration; MP3, WAV ringtones","Wi-Fi 802.11 b/g, hotspot","microUSB 2.0","","2.1","Stereo FM radio, RDS","Yes, with A-GPS","SMS, MMS, Email, Push Email, IM","Accelerometer, proximity, compass","Yes, via Java MIDP emulator","HTML","Up to 700 h (2G) / Up to 500 h (3G)","Removable Li-Ion 1450 mAh battery","","<a href=""#"">3/10</a>","Black, White","","","","","","","","","","","","","","","","","","BLU","","","18","320","111","13.5","58","","","","16","320","480","180","3","3.2","47.4"
"Neo 3.5","Class 12","GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2","HSPA 21.1/5.76 Mbps","HSDPA 850 / 1900 / 2100","Class 12","GSM / HSPA","Available. Released 2014, May","Dual SIM (Mini-SIM, dual stand-by)","","2014, April","117 x 62 x 11 mm (4.61 x 2.44 x 0.43 in)","101 g (3.56 oz)","320 x 480 pixels (~165 ppi pixel density)","Yes","TFT capacitive touchscreen, 16M colors","3.5 inches (~50.3% screen-to-body ratio)","","Android 4.2 (Jelly Bean)","Dual-core 1.0 GHz Cortex-A7","Mali-400","512 MB, 256 MB RAM","microSD, up to 64 GB","No","480p@30fps","1.3 MP","Geo-tagging, touch focus, face detection","Yes","Yes","Vibration; MP3, WAV ringtones","Wi-Fi 802.11 b/g/n, hotspot","microUSB 2.0","","4.0, A2DP","FM radio","Yes, with A-GPS","SMS(threaded view), MMS, Email, Push Email, IM","Accelerometer, gyro, proximity","No","HTML5","Up to 700 h (2G) / Up to 500 h (3G)","Removable Li-Ion 1300 mAh battery","","<a href=""#"">2/10</a>","White","","","","","","","","","","","","","","","","","","BLU","","","30","480","117","11","62","101","3.56","","64","320","480","165","1","3.5","50.3"
"Neo","GSM 850 / 900 / 1800 / 1900 - SIM 2  (S230 only)","GSM 850 / 900 / 1800 / 1900","","","Class 10","GSM","Available. Released 2012, Q1","Mini-SIM","","2011, August","96 x 54 x 12.8 mm (3.78 x 2.13 x 0.50 in)","120 g (4.23 oz)","240 x 320 pixels (~143 ppi pixel density)","","TFT resistive touchscreen, 256K colors","2.8 inches (~46.8% screen-to-body ratio)","","","","","256 MB ROM, 64 MB RAM","microSD, up to 8 GB (dedicated slot)","No","Yes","2 MP","","Yes","Yes","Vibration, MP3 ringtones","No","microUSB","","2.1, A2DP","Stereo FM radio","No","SMS, MMS, Email, Push Email, IM","","Yes","WAP 2.0/xHTML","Up to 150 h","Removable Li-Ion 820 mAh battery","","<a href=""#"">2/10</a>","Black, Red, Blue, Silver","","","","","","Yes","Yes","Downloadable","","","","","","","","","","BLU","","","","","96","12.8","54","120","4.23","","8","240","320","143","2","2.8","46.8"
"Neo 4.5","Class 12","GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2","HSPA 21.1/5.76 Mbps","HSDPA 850 / 1900 / 2100","Class 12","GSM / HSPA","Available. Released 2014, May","Dual SIM (Mini-SIM, dual stand-by)","","2014, April","136 x 63 x 10.5 mm (5.35 x 2.48 x 0.41 in)","135 g (4.76 oz)","480 x 854 pixels (~218 ppi pixel density)","Yes","IPS LCD capacitive touchscreen, 16M colors","4.5 inches (~65.1% screen-to-body ratio)","","Android 4.2 (Jelly Bean)","Dual-core 1.3 GHz Cortex-A7","Mali-400","4 GB, 512 MB RAM","microSD, up to 64 GB","VGA","720p@30fps","3.15 MP, LED flash","Geo-tagging, touch focus, face detection","Yes","Yes","Vibration; MP3, WAV ringtones","Wi-Fi 802.11 b/g/n, hotspot","microUSB 2.0","","4.0, A2DP","FM radio","Yes, with A-GPS","SMS(threaded view), MMS, Email, Push Email, IM","Accelerometer, gyro, proximity","No","HTML5","Up to 900 h (2G) / Up to 750 h (3G)","Removable Li-Ion 1800 mAh battery","","<a href=""#"">2/10</a>","Black, White, White/Black","","","","","","","","","","","","","","","","","","BLU","","","30","720","136","10.5","63","135","4.76","","64","480","854","218","3","4.5","65.1"
"Neo Pro","GSM 850 / 900 / 1800 / 1900 - SIM 2  (S310 only)","GSM 850 / 900 / 1800 / 1900","","","Class 10","GSM","Available. Released Exp. release 2012, Q1","Mini-SIM","","2011, August","101 x 55 x 16.5 mm (3.98 x 2.17 x 0.65 in)","120 g (4.23 oz)","240 x 320 pixels (~143 ppi pixel density)","","TFT capacitive touchscreen, 256K colors","2.8 inches (~43.7% screen-to-body ratio)","","","","","1 GB ROM, 256 MB RAM","microSD, up to 32 GB (dedicated slot)","No","Yes","3.15 MP","","Yes","Yes","Vibration, MP3 ringtones","Yes","microUSB","","2.1, A2DP","Stereo FM radio","No","SMS, MMS, Email, Push Email, IM","","Yes","WAP 2.0/xHTML","Up to 200 h","Removable Li-Ion 900 mAh battery","","","Black, Red, Blue, Silver","","","","","","Yes","Yes","Downloadable","","","","QWERTY","","","","","","BLU","","","","","101","16.5","55","120","4.23","","32","240","320","143","3","2.8","43.7"
"Neo XT","GSM 850 / 900 / 1800 / 1900 - SIM 2  (S290 only)","GSM 850 / 900 / 1800 / 1900","","","Class 10","GSM","Available. Released 2012, Q1","Mini-SIM","","2011, August","96 x 58 x 12.8 mm (3.78 x 2.28 x 0.50 in)","120 g (4.23 oz)","240 x 400 pixels (~155 ppi pixel density)","","TFT capacitive touchscreen, 256K colors","3.0 inches (~46.0% screen-to-body ratio)","","","","","1 GB ROM, 256 MB RAM","microSD, up to 32 GB (dedicated slot)","No","Yes","3.15 MP, LED flash","","Yes","Yes","Vibration, MP3 ringtones","Yes","microUSB","","2.1, A2DP","Stereo FM radio","No","SMS, MMS, Email, Push Email, IM","","Yes","WAP 2.0/xHTML","Up to 150 h","Removable Li-Ion 820 mAh battery","","<a href=""#"">2/10</a>","Black","","","","","","Yes","Yes","Downloadable","","","","","","","","","","BLU","","","","","96","12.8","58","120","4.23","","32","240","400","155","3","3.0","46.0"
"Quattro 4.5","Class 12","GSM 850 / 900 / 1800 / 1900","HSPA 21.1/5.76 Mbps","HSDPA 850 / 900 / 1700 / 1900 / 2100","Class 12","GSM / HSPA","Discontinued","Mini-SIM","","2013, February. Released 2013, February","133 x 67 x 10.8 mm (5.24 x 2.64 x 0.43 in)","145 g (5.11 oz)","540 x 960 pixels (~245 ppi pixel density)","Yes","IPS LCD capacitive touchscreen, 16M colors","4.5 inches (~62.6% screen-to-body ratio)","Nvidia Tegra 3","Android 4.0 (Ice Cream Sandwich), upgradable to 4.1 (Jelly Bean)","Quad-core 1.5 GHz","ULP GeForce","4 GB, 1 GB RAM","microSD, up to 32 GB (dedicated slot)","VGA","1080p@30fps, stereo sound rec.","5 MP, autofocus, LED flash","Geo-tagging, touch focus, face/smile detection","Yes","Yes","Vibration; MP3, WAV ringtones","Wi-Fi 802.11 a/b/g/n, dual band, Wi-Fi Direct, DLNA, hotspot","microUSB 2.0","","4.0, A2DP","Stereo FM radio","Yes, with A-GPS","SMS(threaded view), MMS, Email, Push Email, IM","Accelerometer, gyro, proximity, compass","No","HTML, Adobe Flash","Up to 750 h (2G) / Up to 700 h (3G)","Removable Li-Ion 1800 mAh battery","","<a href=""#"">4/10</a>","Black","","","","","","","","","","","","","","","","","","BLU","","","30","1080","133","10.8","67","145","5.11","","32","540","960","245","5","4.5","62.6"
"Quattro 4.5 HD","Class 12","GSM 850 / 900 / 1800 / 1900","HSPA 21.1/5.76 Mbps","HSDPA 850 / 900 / 1700 / 1900 / 2100","Class 12","GSM / HSPA","Discontinued","Mini-SIM","","2013, February. Released 2013, February","134 x 67 x 10.3 mm (5.28 x 2.64 x 0.41 in)","148 g (5.22 oz)","720 x 1280 pixels (~326 ppi pixel density)","Yes","Super IPS LCD2 capacitive touchscreen, 16M colors","4.5 inches (~62.2% screen-to-body ratio)","Nvidia Tegra 3","Android 4.0 (Ice Cream Sandwich), upgradable to 4.1 (Jelly Bean)","Quad-core 1.5 GHz","ULP GeForce","16 GB, 1 GB RAM","No","1.3 MP","1080p@24fps, stereo sound rec.","8 MP, autofocus, LED flash","Geo-tagging, touch focus, face/smile detection","Yes","Yes","Vibration; MP3, WAV ringtones","Wi-Fi 802.11 a/b/g/n, dual band, Wi-Fi Direct, DLNA, hotspot","microUSB 2.0","","4.0, A2DP","Stereo FM radio","Yes, with A-GPS","SMS(threaded view), MMS, Email, Push Email, IM","Accelerometer, gyro, proximity, compass","No","HTML, Adobe Flash","Up to 750 h (2G) / Up to 700 h (3G)","Removable Li-Ion 1800 mAh battery","","<a href=""#"">6/10</a>","Black","","","","","","","","","","","Corning Gorilla Glass 2","","","","","","","BLU","1","1","24","1080","134","10.3","67","148","5.22","1","","720","1280","326","8","4.5","62.2"
"Quattro 5.7 HD","Class 12","GSM 850 / 900 / 1800 / 1900","HSPA 21.1/5.76 Mbps","HSDPA 850 / 900 / 1700 / 1900 / 2100","Class 12","GSM / HSPA","Discontinued","Mini-SIM","","2013, February. Released 2013, February","161.2 x 82.9 x 10.6 mm (6.35 x 3.26 x 0.42 in)","243 g (8.57 oz)","720 x 1280 pixels (~258 ppi pixel density)","Yes","IPS LCD capacitive touchscreen, 16M colors","5.7 inches, 5.70 (~67.0% screen-to-body ratio)","Nvidia Tegra 3","Android 4.0 (Ice Cream Sandwich), upgradable to 4.1 (Jelly Bean)","Quad-core 1.5 GHz","ULP GeForce","4 GB, 1 GB RAM","microSD, up to 32 GB (dedicated slot)","1.3 MP","1080p@24fps, stereo sound rec.","8 MP, autofocus, LED flash","Geo-tagging, touch focus, face/smile detection","Yes","Yes","Vibration; MP3, WAV ringtones","Wi-Fi 802.11 a/b/g/n, dual band, Wi-Fi Direct, DLNA, hotspot","microUSB 2.0","","4.0, A2DP","Stereo FM radio","Yes, with A-GPS","SMS(threaded view), MMS, Email, Push Email, IM","Accelerometer, gyro, proximity, compass","No","HTML, Adobe Flash","Up to 900 h (2G) / Up to 850 h (3G)","Removable Li-Ion 2800 mAh battery","","<a href=""#"">5/10</a>","Black","","","","","","","","","","","","","","","","","","BLU","","","24","1080","161.2","10.6","82.9","243","8.57","1","32","720","1280","258","8","",""
"Samba","GSM 850 / 900 / 1800 / 1900 - SIM 2","GSM 850 / 900 / 1800 / 1900 - SIM 1","","","Yes","GSM","Discontinued","Dual SIM (Mini-SIM)","","2010, June. Released 2010, June","111 x 56 x 14 mm (4.37 x 2.20 x 0.55 in)","96 g (3.39 oz)","","","TFT, 65K colors","1.8 inches","","","","","16 MB","microSD, up to 2 GB (dedicated slot)","No","No","CIF","","Yes","No","Vibration, MP3 ringtones","No","Yes","","1.2","FM radio","No","SMS, MMS","","No","WAP 2.0/xHTML (Opera Mini)","Up to 450 h","Removable Li-Ion 750 mAh battery","","<a href=""#"">1/10</a>","Silver, Red, Yellow, Blue, Green, Purple, Pink","","","","","","200 entries","Yes","Downloadable","","","","QWERTY","","","","","","BLU","","","","","111","14","56","96","3.39","","2","","","","","",""
